"Date","US information and technology sector, share of GDP"
"1997","4.60"
"1998","4.79"
"1999","5.03"
"2000","4.59"
"2001","4.72"
"2002","5.01"
"2003","4.90"
"2004","5.06"
"2005","4.90"
"2006","4.68"
"2007","4.85"
"2008","4.96"
"2009","4.89"
"2010","4.88"
"2011","4.69"
"2012","4.59"
"2013","4.65"
"2014","4.64"
"2015","null"
