"Date","Peak DAUs"
"2/1/2014","24,353"
"3/1/2014","47,039"
"4/1/2014","60,319"
"5/1/2014","80,501"
"6/1/2014","100,948"
"7/1/2014","114,866"
"8/1/2014","170,647"
"9/1/2014","212,613"
"10/1/2014","254,351"
"11/1/2014","321,168"
"12/1/2014","365,312"
"1/1/2015","439,881"
"2/1/2015","514,679"
"4/1/2015","750000"
"6/1/2015","1100000"
